author_id,created_at,text
@AirAsiaSupport hi!  I have booked my ticket and when i see my itenary has been redundant i call ur customer service to assist but out of line.,115797,09_06_2022_21_42_00
@115797 Sorry as we checked booking has already expired due to no payment made. Kindly please proceed with new booking - Ed,AirAsiaSupport,09_06_2022_21_42_01
@AirAsiaSupport lost my booking # chua loreen lee flight z2 129.128 12/22-01/8 taipei-manila. __email__,115797,09_06_2022_21_42_02
"Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :)",115798,09_06_2022_21_42_03
"@115799 Hi Emma, Could you please follow us so we can DM you again with the email reply sent to you  =) Yana",AirAsiaSupport,09_06_2022_21_42_04
"@AirAsiaSupport Hi Yana, followed!",115799,09_06_2022_21_42_05
"@115799 Hi Emma, We have replied to you via DM. please check again, Thank you- Mariya",AirAsiaSupport,09_06_2022_21_42_06
@AirAsiaSupport Hi Yana I don’t have any DMs from you. Did you mean email?,115799,09_06_2022_21_42_07
@115799 We have replied to you via DM. Check it out =) Yana,AirAsiaSupport,09_06_2022_21_42_08
@AirAsiaSupport CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs.,115799,09_06_2022_21_42_09
@115800  notified if there should be any changes-Yana,AirAsiaSupport,09_06_2022_21_42_10
@115801 @115802 @AirAsiaSupport You'll be even happier to know that the restrictions around the volcano area have been lifted. Enjoy staying at home pal! 😂😂😂😂 #unlucky,115800,09_06_2022_21_42_11
@115802 @AirAsiaSupport Why are you not refunding my trip to Bali for Volcano eruption!!! Urgently refund!!,115801,09_06_2022_21_42_12
@115800 We are terribly sorry but we could not offer any options since all the flight are operating as per normal.Passengers will be,AirAsiaSupport,09_06_2022_21_42_13
"@115797 Hi Looreen :) Kindly DM us the booking number and attach guest passport copy, we'll fix it for you, see you there! -Anwar",AirAsiaSupport,09_06_2022_21_42_14
@AirAsiaSupport my surname has been redundant where do i go to correct it?,115797,09_06_2022_21_42_15
